Package,Class,Lines of Code,Cyclomatic Complexity,Weighted Methods per Class,Depth of Inheritance Tree,Number of Children,Coupling between Objects,Response for Class,Lack of Cohesion of Methods
org::eclipse::jdt::internal::compiler::batch::ClasspathLocation,java::lang::Object,28,4,4,1,2,5,6,0
org::eclipse::jdt::core::dom::TextElement,org::eclipse::jdt::core::dom::ASTNode,108,18,18,2,0,11,31,2
org::eclipse::jdt::internal::core::dom::rewrite::NodeRewriteEvent,org::eclipse::jdt::internal::core::dom::rewrite::RewriteEvent,65,16,16,2,0,2,13,17
org::eclipse::jdt::internal::compiler::ast::PostfixExpression,org::eclipse::jdt::internal::compiler::ast::CompoundAssignment,46,10,10,6,0,6,15,10
org::eclipse::jdt::internal::compiler::ast::CharLiteral,org::eclipse::jdt::internal::compiler::ast::NumberLiteral,79,19,19,6,0,6,12,6
org::eclipse::jdt::internal::core::ClasspathAccessRule,org::eclipse::jdt::core::IAccessRule,30,11,11,2,0,4,10,1
org::eclipse::jdt::internal::core::ImportDeclaration,org::eclipse::jdt::internal::core::SourceRefElement,82,17,17,4,1,8,26,26
org::eclipse::jdt::internal::compiler::flow::InitializationFlowContext,org::eclipse::jdt::internal::compiler::flow::ExceptionHandlingFlowContext,65,7,7,3,0,10,14,0
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer,org::eclipse::jdt::internal::compiler::parser::TerminalTokens,266,54,54,3,0,20,41,52
org::eclipse::jdt::core::dom::RecoveredTypeBinding,org::eclipse::jdt::core::dom::ITypeBinding,424,127,127,2,0,39,117,1457
org::eclipse::jdt::internal::eval::CodeSnippetTypeDeclaration,org::eclipse::jdt::internal::compiler::ast::TypeDeclaration,59,14,14,4,0,9,17,0
org::eclipse::jdt::internal::core::dom::rewrite::RewriteEventStore::CopySourceInfo,java::lang::Object,31,7,7,1,0,5,8,1
org::eclipse::jdt::internal::compiler::ast::Annotation,org::eclipse::jdt::internal::compiler::ast::Expression,362,108,108,4,3,34,45,34
org::eclipse::jdt::internal::compiler::batch::FileSystem::ClasspathNormalizer,java::lang::Object,21,3,3,1,0,5,10,0
org::eclipse::jdt::core::formatter::CodeFormatterApplication::Messages,org::eclipse::osgi::util::NLS,59,5,5,1,0,3,7,6
org::eclipse::jdt::internal::compiler::classfmt::AnnotationMethodInfoWithAnnotations,org::eclipse::jdt::internal::compiler::classfmt::AnnotationMethodInfo,26,10,10,4,0,3,11,0
org::eclipse::jdt::internal::core::index::DiskIndex::IntList,java::lang::Object,17,5,5,1,0,1,3,0
org::eclipse::jdt::internal::core::search::indexing::RemoveFolderFromIndex,org::eclipse::jdt::internal::core::search::indexing::IndexRequest,49,13,13,2,0,14,17,0
org::eclipse::jdt::core::dom::ArrayAccess,org::eclipse::jdt::core::dom::Expression,169,26,26,3,0,10,37,8
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeFound,java::lang::RuntimeException,18,5,5,1,0,3,1,0
org::eclipse::jdt::internal::eval::CodeSnippetParser,org::eclipse::jdt::internal::compiler::parser::Parser,647,93,93,2,0,40,112,0
org::eclipse::jdt::internal::compiler::classfmt::ClassFileReader,org::eclipse::jdt::internal::compiler::env::IBinaryType,647,127,127,3,0,31,120,569
org::eclipse::jdt::internal::core::hierarchy::HierarchyBinaryType,java::lang::Object,213,42,42,3,0,12,37,198
org::eclipse::jdt::internal::core::SourceField,org::eclipse::jdt::internal::core::NamedMember,138,36,36,6,1,21,46,45
org::eclipse::jdt::core::dom::EnumConstantDeclaration,org::eclipse::jdt::core::dom::BodyDeclaration,232,34,34,3,0,18,64,26
org::eclipse::jdt::internal::formatter::align::Alignment,java::lang::Object,270,62,62,1,0,7,23,20
org::eclipse::jdt::internal::core::BinaryMethod,org::eclipse::jdt::internal::core::BinaryMember,552,121,121,7,1,41,135,266
org::eclipse::jdt::internal::compiler::ProcessTaskManager,java::lang::Object,140,28,28,1,0,11,22,0
org::eclipse::jdt::core::dom::TypeLiteral,org::eclipse::jdt::core::dom::Expression,112,19,19,3,0,11,35,2
org::eclipse::jdt::internal::core::search::matching::TypeParameterLocator,org::eclipse::jdt::internal::core::search::matching::PatternLocator,81,31,31,2,0,16,14,4
org::eclipse::jdt::internal::core::dom::rewrite::RewriteEventStore::ParentIterator,java::util::Iterator,36,10,10,1,0,8,11,2
org::eclipse::jdt::internal::core::util::RuntimeInvisibleAnnotationsAttribute,org::eclipse::jdt::internal::core::util::ClassFileAttribute,33,5,5,3,0,4,6,1
org::eclipse::jdt::internal::compiler::DocumentElementParser,org::eclipse::jdt::internal::compiler::parser::Parser,647,127,127,2,0,35,135,102
org::eclipse::jdt::core::ClasspathVariableInitializer,java::lang::Object,23,1,1,1,0,1,1,0
org::eclipse::jdt::core::util::ClassFileBytesDisassembler,java::lang::Object,31,0,0,1,1,2,3,3
org::eclipse::jdt::internal::compiler::parser::NLSTag,java::lang::Object,9,2,2,1,0,1,1,0
org::eclipse::jdt::internal::core::dom::rewrite::TokenScanner,java::lang::Object,187,35,35,1,0,9,25,126
org::eclipse::jdt::core::dom::VariableDeclarationFragment,org::eclipse::jdt::core::dom::VariableDeclaration,182,32,32,3,0,12,49,18
org::eclipse::jdt::core::dom::IfStatement,org::eclipse::jdt::core::dom::Statement,233,30,30,3,0,12,43,18
org::eclipse::jdt::internal::formatter::comment::CommentRegion,org::eclipse::jdt::internal::formatter::comment::IBorderAttributes,471,56,56,1,1,23,77,0
org::eclipse::jdt::internal::core::builder::AbstractImageBuilder,java::lang::Object,647,127,127,1,2,50,135,1
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithParameterAnnotations,org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations,35,11,11,4,0,3,13,0
org::eclipse::jdt::core::dom::PostfixExpression::Operator,java::lang::Object,45,5,5,1,0,4,7,1
org::eclipse::jdt::internal::core::ClasspathAttribute,java::lang::Object,21,7,7,1,0,3,8,1
org::eclipse::jdt::core::dom::SwitchStatement,org::eclipse::jdt::core::dom::Statement,137,22,22,3,0,13,46,5
org::eclipse::jdt::core::dom::CharacterLiteral,org::eclipse::jdt::core::dom::Expression,296,61,61,3,0,15,45,7
org::eclipse::jdt::internal::compiler::ast::DoubleLiteral,org::eclipse::jdt::internal::compiler::ast::NumberLiteral,92,27,27,6,0,9,15,6
org::eclipse::jdt::internal::core::CreateInitializerOperation,org::eclipse::jdt::internal::core::CreateTypeMemberOperation,78,16,16,4,0,14,20,0
org::eclipse::jdt::core::dom::rewrite::ListRewrite,java::lang::Object,351,38,38,1,0,14,43,102
org::eclipse::jdt::core::dom::DefaultCommentMapper,java::lang::Object,481,86,86,1,0,11,24,5
org::eclipse::jdt::internal::core::dom::rewrite::LineInformation,java::lang::Object,31,2,2,1,2,3,4,6
org::eclipse::jdt::internal::core::search::matching::InternalReferenceMatch,org::eclipse::jdt::core::search::ReferenceMatch,19,3,3,3,4,3,3,0
org::eclipse::jdt::internal::formatter::CodeFormatterVisitor,org::eclipse::jdt::internal::compiler::ASTVisitor,647,127,127,2,0,50,135,955
org::eclipse::jdt::internal::compiler::ast::LabeledStatement,org::eclipse::jdt::internal::compiler::ast::Statement,108,19,19,3,0,13,33,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnClassLiteralAccess,org::eclipse::jdt::internal::compiler::ast::ClassLiteralAccess,17,4,4,5,0,5,10,1
org::eclipse::jdt::internal::core::SetVariablesOperation,org::eclipse::jdt::internal::core::ChangeClasspathOperation,153,32,32,3,0,20,47,0
org::eclipse::jdt::core::dom::TypeDeclaration,org::eclipse::jdt::core::dom::AbstractTypeDeclaration,527,75,75,4,0,20,89,76
org::eclipse::jdt::core::compiler::CharOperation,java::lang::Object,647,127,127,1,0,7,77,2207
org::eclipse::jdt::internal::core::util::MementoTokenizer,java::lang::Object,80,38,38,1,0,4,9,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleNameReference,org::eclipse::jdt::internal::compiler::ast::SingleNameReference,20,5,5,7,0,5,9,1
org::eclipse::jdt::internal::core::JavaElementDeltaBuilder::ListItem,java::lang::Object,4,1,1,1,0,1,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationMemberValuePair,org::eclipse::jdt::internal::compiler::ast::NormalAnnotation,32,7,7,6,0,7,10,0
org::eclipse::jdt::internal::core::search::matching::PatternLocator,java::lang::Object,647,127,127,1,11,50,111,119
org::eclipse::jdt::internal::core::builder::WorkQueue,java::lang::Object,28,9,9,1,0,3,12,9
org::eclipse::jdt::internal::compiler::lookup::FieldBinding,org::eclipse::jdt::internal::compiler::lookup::VariableBinding,283,69,69,3,3,22,46,232
org::eclipse::jdt::internal::core::search::indexing::AddJarFileToIndex,org::eclipse::jdt::internal::core::search::indexing::IndexRequest,199,52,52,2,0,30,48,4
org::eclipse::jdt::internal::core::UserLibraryManager,java::lang::Object,128,26,26,1,0,24,43,6
org::eclipse::jdt::internal::compiler::ast::FieldReference,org::eclipse::jdt::internal::compiler::ast::Reference,566,123,123,5,4,29,107,141
org::eclipse::jdt::internal::core::dom::rewrite::NodeInfoStore::PlaceholderData,java::lang::Object,0,0,0,1,2,0,0,0
org::eclipse::jdt::internal::compiler::lookup::ProblemPackageBinding,org::eclipse::jdt::internal::compiler::lookup::PackageBinding,10,3,3,3,0,0,2,0
org::eclipse::jdt::internal::eval::VariablesEvaluator,org::eclipse::jdt::internal::eval::EvaluationConstants,276,32,32,2,0,21,37,0
org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue,org::eclipse::jdt::internal::compiler::ast::IntLiteral,7,2,2,7,0,3,3,0
org::eclipse::jdt::internal::core::TypeParameter,org::eclipse::jdt::internal::core::SourceRefElement,57,16,16,4,1,11,24,28
org::eclipse::jdt::internal::core::util::LocalVariableTypeAttribute,org::eclipse::jdt::core::util::ILocalVariableTypeTableAttribute,38,5,5,3,0,4,5,1
org::eclipse::jdt::internal::core::util::RuntimeVisibleParameterAnnotationsAttribute,org::eclipse::jdt::core::util::IRuntimeVisibleParameterAnnotationsAttribute,33,5,5,3,0,4,6,1
org::eclipse::jdt::core::dom::EnhancedForStatement,org::eclipse::jdt::core::dom::Statement,213,33,33,3,0,13,46,18
org::eclipse::jdt::internal::core::SetContainerOperation,org::eclipse::jdt::internal::core::ChangeClasspathOperation,167,32,32,3,0,20,39,0
org::eclipse::jdt::internal::core::JarEntryFile,org::eclipse::jdt::internal::core::JarEntryResource,38,9,9,3,0,16,21,10
org::eclipse::jdt::internal::core::search::matching::MatchingNodeSet,java::lang::Object,156,36,36,1,0,13,32,11
org::eclipse::jdt::internal::compiler::ast::SingleMemberAnnotation,org::eclipse::jdt::internal::compiler::ast::Annotation,37,9,9,5,0,6,12,3
org::eclipse::jdt::internal::compiler::problem::AbortCompilationUnit,org::eclipse::jdt::internal::compiler::problem::AbortCompilation,10,2,2,2,1,4,2,0
org::eclipse::jdt::internal::compiler::util::Util,java::lang::Object,647,127,127,1,0,26,78,230
org::eclipse::jdt::internal::compiler::impl::ByteConstant,org::eclipse::jdt::internal::compiler::impl::Constant,37,12,12,2,0,1,13,27
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference,org::eclipse::jdt::internal::compiler::ast::QualifiedNameReference,42,10,10,7,0,8,16,1
org::eclipse::jdt::core::search::SearchEngine::SearchPatternAdapter,org::eclipse::jdt::core::search::ISearchPattern,3,1,1,1,0,1,0,0
org::eclipse::jdt::core::dom::ArrayCreation,org::eclipse::jdt::core::dom::Expression,178,26,26,3,0,14,49,13
org::eclipse::jdt::core::dom::AssertStatement,org::eclipse::jdt::core::dom::Statement,161,23,23,3,0,11,39,8
org::eclipse::jdt::core::dom::NullLiteral,org::eclipse::jdt::core::dom::Expression,55,10,10,3,0,7,20,0
