Package,Class,Lines of Code,Cyclomatic Complexity,Weighted Methods per Class,Depth of Inheritance Tree,Number of Children,Coupling between Objects,Response for Class,Lack of Cohesion of Methods
org::eclipse::jdt::internal::compiler::ast::LongLiteral,org::eclipse::jdt::internal::compiler::ast::NumberLiteral,135,26,26,6,1,10,17,14
org::eclipse::jdt::internal::compiler::ast::UnaryExpression,org::eclipse::jdt::internal::compiler::ast::OperatorExpression,277,58,58,5,0,16,60,5
org::eclipse::jdt::internal::codeassist::complete::CompletionOnArgumentName,org::eclipse::jdt::internal::compiler::ast::Argument,27,6,6,6,0,9,15,3
org::eclipse::jdt::core::dom::Comment,org::eclipse::jdt::core::dom::ASTNode,82,7,7,2,3,1,8,9
org::eclipse::jdt::internal::compiler::classfmt::FieldInfo,org::eclipse::jdt::internal::compiler::env::IBinaryField,360,79,79,2,1,31,78,136
org::eclipse::jdt::internal::core::BinaryTypeConverter,org::eclipse::jdt::internal::compiler::parser::TypeConverter,310,56,56,2,0,35,58,1
org::eclipse::jdt::internal::compiler::ast::JavadocSingleTypeReference,org::eclipse::jdt::internal::compiler::ast::SingleTypeReference,70,19,19,6,2,11,25,1
org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer,java::lang::Object,69,14,14,1,0,5,11,30
org::eclipse::jdt::internal::core::CommitWorkingCopyOperation,org::eclipse::jdt::internal::core::JavaModelOperation,163,25,25,2,0,28,57,0
org::eclipse::jdt::internal::core::OverflowingLRUCache.printStats()::Temp,java::lang::Object,7,2,2,1,0,2,1,0
org::eclipse::jdt::internal::core::util::LineNumberAttribute,org::eclipse::jdt::core::util::ILineNumberAttribute,40,5,5,3,0,2,4,1
org::eclipse::jdt::internal::compiler::codegen::DoubleCache,java::lang::Object,131,27,27,1,0,4,13,0
org::eclipse::jdt::internal::compiler::codegen::StackMapFrameCodeStream::StackMarker,java::lang::Object,23,6,6,1,0,3,8,0
org::eclipse::jdt::core::dom::WhileStatement,org::eclipse::jdt::core::dom::Statement,174,26,26,3,0,12,40,8
org::eclipse::jdt::internal::codeassist::impl::AssistTypeParameter,org::eclipse::jdt::internal::core::TypeParameter,7,2,2,5,0,4,3,0
org::eclipse::jdt::internal::eval::CodeSnippetQualifiedNameReference,org::eclipse::jdt::internal::compiler::lookup::ProblemReasons,574,112,112,7,0,26,70,56
org::eclipse::jdt::internal::formatter::OptimizedReplaceEdit,java::lang::Object,8,2,2,1,0,1,1,0
org::eclipse::jdt::core::dom::ASTParser,java::lang::Object,647,90,90,1,0,50,103,133
org::eclipse::jdt::internal::compiler::lookup::VariableBinding,org::eclipse::jdt::internal::compiler::lookup::Binding,36,9,9,2,2,9,13,16
org::eclipse::jdt::internal::compiler::lookup::MethodBinding,org::eclipse::jdt::internal::compiler::lookup::Binding,647,127,127,2,4,37,127,1114
org::eclipse::jdt::internal::compiler::ast::JavadocMessageSend,org::eclipse::jdt::internal::compiler::ast::MessageSend,197,56,56,5,1,16,45,15
org::eclipse::jdt::core::jdom::DOMFactory,java::lang::Object,82,26,26,1,0,12,31,121
org::eclipse::jdt::internal::eval::CodeSnippetSingleNameReference,org::eclipse::jdt::internal::eval::EvaluationConstants,600,127,127,7,0,29,76,39
org::eclipse::jdt::internal::compiler::ast::ArrayQualifiedTypeReference,org::eclipse::jdt::internal::compiler::ast::QualifiedTypeReference,70,14,14,6,2,12,22,7
org::eclipse::jdt::internal::compiler::ast::SingleTypeReference,org::eclipse::jdt::internal::compiler::ast::TypeReference,67,17,17,5,6,13,29,15
org::eclipse::jdt::internal::core::search::indexing::InternalSearchDocument,java::lang::Object,16,7,7,1,1,3,7,2
org::eclipse::jdt::internal::core::jdom::DOMType,org::eclipse::jdt::core::jdom::IDOMType,647,91,91,4,0,16,84,183
org::eclipse::jdt::internal::codeassist::complete::CompletionOnPackageReference,org::eclipse::jdt::internal::compiler::ast::ImportReference,12,4,4,3,0,2,6,0
org::eclipse::jdt::internal::compiler::ast::DoStatement,org::eclipse::jdt::internal::compiler::ast::Statement,167,23,23,3,0,15,51,0
org::eclipse::jdt::internal::compiler::env::AccessRuleSet,java::lang::Object,83,22,22,1,0,7,15,4
org::eclipse::jdt::internal::compiler::impl::DoubleConstant,org::eclipse::jdt::internal::compiler::impl::Constant,39,13,13,2,0,1,13,52
org::eclipse::jdt::core::search::TypeDeclarationMatch,org::eclipse::jdt::core::search::SearchMatch,13,1,1,2,0,3,1,0
org::eclipse::jdt::internal::core::search::matching::MethodPattern,org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,326,69,69,4,1,16,40,9
org::eclipse::jdt::internal::core::search::matching::PackageReferenceLocator,org::eclipse::jdt::internal::core::search::matching::PatternLocator,323,104,104,2,0,40,48,27
org::eclipse::jdt::core::dom::ParenthesizedExpression,org::eclipse::jdt::core::dom::Expression,113,19,19,3,0,10,35,2
org::eclipse::jdt::internal::core::ProjectReferenceChange,java::lang::Object,77,5,5,1,0,13,12,0
org::eclipse::jdt::internal::codeassist::select::SelectionParser,org::eclipse::jdt::internal::codeassist::impl::AssistParser,647,127,127,3,0,50,135,104
org::eclipse::jdt::internal::compiler::ast::CombinedBinaryExpression,org::eclipse::jdt::internal::compiler::ast::BinaryExpression,297,44,44,6,0,10,38,6
org::eclipse::jdt::internal::core::jdom::DOMInitializer,org::eclipse::jdt::core::jdom::IDOMInitializer,191,24,24,4,0,9,40,20
org::eclipse::jdt::core::dom::StructuralPropertyDescriptor,java::lang::Object,93,13,13,1,3,4,11,13
org::eclipse::jdt::internal::core::JarPackageFragment,org::eclipse::jdt::internal::core::PackageFragment,168,27,27,5,0,30,52,21
org::eclipse::jdt::internal::core::dom::rewrite::NodeInfoStore,java::lang::Object,93,20,20,1,0,21,29,16
org::eclipse::jdt::internal::core::search::indexing::BinaryIndexer,org::eclipse::jdt::internal::core::search::indexing::AbstractIndexer,647,127,127,2,0,21,89,1
org::eclipse::jdt::internal::core::DeletePackageFragmentRootOperation,org::eclipse::jdt::internal::core::JavaModelOperation,126,25,25,2,0,21,36,0
org::eclipse::jdt::internal::core::Buffer,java::lang::Object,432,77,77,1,1,23,58,147
org::eclipse::jdt::internal::formatter::FormatJavadocBlock,org::eclipse::jdt::internal::formatter::FormatJavadocNode,304,72,72,2,0,6,40,24
org::eclipse::jdt::internal::core::eval::RequestorWrapper,java::lang::Object,42,6,6,1,0,12,19,0
org::eclipse::jdt::internal::core::builder::ReferenceCollection,java::lang::Object,180,61,61,1,1,9,22,24
org::eclipse::jdt::internal::core::search::indexing::AddFolderToIndex,org::eclipse::jdt::internal::core::search::indexing::IndexRequest,79,11,11,2,0,15,17,0
org::eclipse::jdt::internal::compiler::lookup::ProblemReferenceBinding,org::eclipse::jdt::internal::compiler::lookup::ReferenceBinding,57,12,12,4,0,6,21,11
org::eclipse::jdt::internal::compiler::codegen::StackMapFrameCodeStream,org::eclipse::jdt::internal::compiler::codegen::CodeStream,402,87,87,2,0,25,115,421
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser::ResolutionCleaner,org::eclipse::jdt::internal::compiler::ASTVisitor,83,21,21,2,0,13,25,119
org::eclipse::jdt::internal::core::CreateCompilationUnitOperation,org::eclipse::jdt::internal::core::JavaModelOperation,108,19,19,2,0,31,46,0
org::eclipse::jdt::core::dom::ImportDeclaration,org::eclipse::jdt::core::dom::ASTNode,242,31,31,2,0,14,49,25
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference,org::eclipse::jdt::internal::compiler::ast::SingleTypeReference,35,9,9,6,0,11,17,3
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray,java::lang::Object,147,37,37,1,0,7,21,7
org::eclipse::jdt::internal::core::JavaModelCache,java::lang::Object,179,52,52,1,0,12,37,3
org::eclipse::jdt::internal::compiler::lookup::CompilationUnitScope,org::eclipse::jdt::internal::compiler::lookup::Scope,647,127,127,2,0,37,131,44
org::eclipse::jdt::internal::core::eval::EvaluationContextWrapper,org::eclipse::jdt::core::eval::IEvaluationContext,381,49,49,1,0,41,68,100
org::eclipse::jdt::internal::compiler::impl::CharConstant,org::eclipse::jdt::internal::compiler::impl::Constant,38,12,12,2,0,1,13,34
org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern,org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,17,4,4,4,0,3,6,0
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern,org::eclipse::jdt::internal::core::search::matching::JavaSearchPattern,246,44,44,4,0,7,29,9
org::eclipse::jdt::internal::compiler::lookup::ReferenceBinding,org::eclipse::jdt::internal::compiler::env::IDependent,647,127,127,3,8,30,128,2354
org::eclipse::jdt::core::dom::PrefixExpression,org::eclipse::jdt::core::dom::Expression,149,25,25,3,0,12,42,8
org::eclipse::jdt::internal::formatter::comment::SingleCommentLine,org::eclipse::jdt::internal::formatter::comment::CommentLine,53,12,12,2,0,4,22,0
org::eclipse::jdt::core::ElementChangedEvent,java::util::EventObject,30,3,3,1,0,1,3,1
org::eclipse::jdt::internal::core::builder::State,java::lang::Object,574,127,127,1,0,37,101,13
org::eclipse::jdt::internal::compiler::lookup::LocalTypeBinding,org::eclipse::jdt::internal::compiler::lookup::NestedTypeBinding,186,47,47,6,0,22,50,77
org::eclipse::jdt::internal::compiler::ast::NormalAnnotation,org::eclipse::jdt::internal::compiler::ast::Annotation,48,14,14,5,1,7,11,0
org::eclipse::jdt::internal::core::RenameElementsOperation,org::eclipse::jdt::internal::core::MoveElementsOperation,52,11,11,5,0,8,14,0
org::eclipse::jdt::internal::compiler::impl::IntConstant,org::eclipse::jdt::internal::compiler::impl::Constant,55,27,27,2,0,2,13,40
org::eclipse::jdt::core::dom::MethodBinding,java::lang::Object,364,77,77,2,0,28,66,81
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry,java::lang::Object,4,1,1,1,0,0,0,0
org::eclipse::jdt::internal::core::util::ResourceCompilationUnit,org::eclipse::jdt::internal::compiler::batch::CompilationUnit,15,4,4,3,1,6,6,0
org::eclipse::jdt::core::util::ClassFormatException,java::lang::Exception,14,2,2,1,0,1,1,0
org::eclipse::jdt::internal::core::BufferFactoryWrapper,org::eclipse::jdt::core::WorkingCopyOwner,23,10,10,2,0,5,10,4
org::eclipse::jdt::internal::core::BinaryType,org::eclipse::jdt::internal::compiler::util::SuffixConstants,647,127,127,7,1,50,135,2080
org::eclipse::jdt::internal::compiler::impl::BooleanConstant,org::eclipse::jdt::internal::compiler::impl::Constant,19,6,6,2,0,2,7,7
org::eclipse::jdt::core::dom::AST,java::lang::Object,647,127,127,1,0,50,135,5329
org::eclipse::jdt::internal::compiler::lookup::NestedTypeBinding,org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding,161,45,45,5,2,9,23,50
org::eclipse::jdt::internal::core::util::RecordedParsingInformation,java::lang::Object,12,3,3,1,0,2,1,0
org::eclipse::jdt::internal::compiler::lookup::MethodScope,org::eclipse::jdt::internal::compiler::lookup::BlockScope,420,85,85,3,0,33,58,44
org::eclipse::jdt::internal::core::JavaElement,org::eclipse::core::runtime::PlatformObject,647,127,127,2,2,50,135,854
org::eclipse::jdt::internal::codeassist::complete::CompletionOnParameterizedQualifiedTypeReference,org::eclipse::jdt::internal::compiler::ast::ParameterizedQualifiedTypeReference,85,18,18,8,0,5,16,11
org::eclipse::jdt::internal::compiler::util::Messages,java::lang::Object,123,21,21,1,0,14,29,15
org::eclipse::jdt::internal::compiler::util::ObjectVector,java::lang::Object,100,28,28,1,0,3,17,13
org::eclipse::jdt::core::JDTCompilerAdapter,org::apache::tools::ant::taskdefs::compilers::DefaultCompilerAdapter,506,84,84,1,0,36,81,0
org::eclipse::jdt::core::dom::BreakStatement,org::eclipse::jdt::core::dom::Statement,102,16,16,3,0,9,33,2
org::eclipse::jdt::internal::core::JavaModelManager::VariablesAndContainersLoadHelper,java::lang::Object,208,38,38,1,0,20,40,0
org::eclipse::jdt::internal::core::util::CommentRecorderParser,org::eclipse::jdt::internal::compiler::parser::Parser,205,43,43,2,1,11,27,18
org::eclipse::jdt::internal::compiler::ast::Expression,org::eclipse::jdt::internal::compiler::ast::Statement,647,127,127,3,16,32,101,522
org::eclipse::jdt::internal::formatter::Scribe,java::lang::Object,647,127,127,1,0,47,135,792
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocFieldReference,org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadoc,100,24,24,7,0,5,16,0
org::eclipse::jdt::internal::core::DeltaProcessor::OutputsInfo,java::lang::Object,31,9,9,1,0,4,6,0
org::eclipse::jdt::core::dom::ThisExpression,org::eclipse::jdt::core::dom::Expression,98,16,16,3,0,9,31,2
org::eclipse::jdt::internal::core::search::matching::MatchLocator::WorkingCopyDocument,org::eclipse::jdt::internal::core::search::JavaSearchDocument,8,2,2,4,0,6,6,0
org::eclipse::jdt::internal::core::util::ClassFileReader,org::eclipse::jdt::internal::core::util::ClassFileStruct,359,66,66,2,0,24,41,210
org::eclipse::jdt::internal::compiler::impl::FloatConstant,org::eclipse::jdt::internal::compiler::impl::Constant,36,12,12,2,0,1,13,49
org::eclipse::jdt::core::search::SearchRequestor,java::lang::Object,57,4,4,1,1,3,5,10
org::eclipse::jdt::internal::core::hierarchy::HierarchyResolver,org::eclipse::jdt::internal::compiler::impl::ITypeRequestor,647,127,127,1,0,50,119,4
org::eclipse::jdt::internal::core::search::matching::AndLocator,org::eclipse::jdt::internal::core::search::matching::PatternLocator,218,75,75,2,0,21,42,0
org::eclipse::jdt::internal::compiler::ast::MagicLiteral,org::eclipse::jdt::internal::compiler::ast::Literal,12,3,3,5,3,0,3,1
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocAllocationExpression,org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadoc,73,19,19,6,0,1,12,0
org::eclipse::jdt::core::dom::InfixExpression::Operator,java::lang::Object,62,5,5,1,0,4,7,1
org::eclipse::jdt::internal::compiler::impl::CompilerOptions,java::lang::Object,647,127,127,1,0,17,34,57
org::eclipse::jdt::internal::core::DocumentAdapter,org::eclipse::jface::text::Document,12,3,3,1,0,3,8,0
org::eclipse::jdt::internal::core::util::SourceFileAttribute,org::eclipse::jdt::core::util::ISourceAttribute,32,4,4,3,0,4,8,1
org::eclipse::jdt::internal::codeassist::complete::CompletionOnBrankStatementLabel,org::eclipse::jdt::internal::compiler::ast::BranchStatement,24,5,5,4,0,5,8,3
org::eclipse::jdt::core::BufferChangedEvent,java::util::EventObject,51,5,5,1,0,2,5,6
org::eclipse::jdt::internal::core::CopyPackageFragmentRootOperation,org::eclipse::jdt::internal::core::JavaModelOperation,232,43,43,2,1,29,61,0
org::eclipse::jdt::internal::core::search::matching::OrPattern,org::eclipse::jdt::internal::core::search::indexing::IIndexConstants,79,20,20,3,0,11,20,3
org::eclipse::jdt::internal::core::util::AnnotationDefaultAttribute,org::eclipse::jdt::internal::core::util::ClassFileAttribute,18,2,2,3,0,4,3,0
org::eclipse::jdt::internal::core::CreateImportOperation,org::eclipse::jdt::internal::core::CreateElementInCUOperation,108,19,19,3,0,26,45,1
org::eclipse::jdt::core::dom::rewrite::ImportRewrite,java::lang::Object,647,127,127,1,0,36,135,378
org::eclipse::jdt::internal::compiler::parser::diagnose::RangeUtil::RangeResult,java::lang::Object,73,14,14,1,0,2,6,0
org::eclipse::jdt::internal::eval::CodeSnippetEvaluator,org::eclipse::jdt::internal::eval::Evaluator,165,20,20,2,0,25,35,0
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteFormatter::BlockFormattingPrefix,java::lang::Object,15,3,3,1,0,8,7,0
org::eclipse::jdt::internal::compiler::flow::LoopingFlowContext,org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext,408,106,106,3,0,16,50,29
org::eclipse::jdt::internal::core::builder::BatchImageBuilder,org::eclipse::jdt::internal::core::builder::AbstractImageBuilder,269,46,46,2,0,29,65,1
org::eclipse::jdt::internal::codeassist::select::SelectionJavadoc,org::eclipse::jdt::internal::compiler::ast::Javadoc,101,27,27,3,0,15,11,3
org::eclipse::jdt::core::dom::rewrite::TargetSourceRangeComputer::SourceRange,java::lang::Object,30,3,3,1,0,0,2,1
org::eclipse::jdt::internal::compiler::ast::SuperReference,org::eclipse::jdt::internal::compiler::ast::ThisReference,41,10,10,6,2,9,18,21
org::eclipse::jdt::internal::core::search::matching::ImportMatchLocatorParser,org::eclipse::jdt::internal::core::search::matching::MatchLocatorParser,28,9,9,3,0,4,10,0
org::eclipse::jdt::internal::core::Initializer,org::eclipse::jdt::internal::core::Member,87,19,19,5,1,12,32,21
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTypeParamReference,org::eclipse::jdt::internal::compiler::ast::JavadocSingleTypeReference,28,7,7,7,0,3,8,5
org::eclipse::jdt::internal::core::JavaElementInfo,java::lang::Object,47,14,14,1,2,5,9,4
org::eclipse::jdt::internal::core::util::CharArrayBuffer,java::lang::Object,134,24,24,1,0,5,12,14
org::eclipse::jdt::internal::formatter::comment::CommentFormatterUtil,java::lang::Object,84,12,12,1,0,14,17,3
org::eclipse::jdt::internal::compiler::ast::ParameterizedSingleTypeReference,org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference,264,67,67,7,1,18,64,26
org::eclipse::jdt::internal::core::builder::NameSet,java::lang::Object,41,13,13,1,0,3,7,1
org::eclipse::jdt::internal::core::builder::ClasspathMultiDirectory,org::eclipse::jdt::internal::core::builder::ClasspathDirectory,33,10,10,3,0,7,10,0
org::eclipse::jdt::internal::core::search::matching::MatchLocator,org::eclipse::jdt::internal::compiler::impl::ITypeRequestor,647,127,127,1,0,50,135,193
org::eclipse::jdt::internal::compiler::problem::ProblemHandler,java::lang::Object,144,15,15,1,1,11,17,14
org::eclipse::jdt::internal::compiler::impl::StringConstant,org::eclipse::jdt::internal::compiler::impl::Constant,27,5,5,2,0,1,5,5
org::eclipse::jdt::internal::compiler::ast::JavadocArgumentExpression,org::eclipse::jdt::internal::compiler::ast::Expression,77,21,21,4,0,16,30,9
org::eclipse::jdt::internal::core::util::FieldInfo,org::eclipse::jdt::core::util::IFieldInfo,131,25,25,2,0,13,24,54
org::eclipse::jdt::internal::core::util::LRUCache,java::lang::Cloneable,395,49,49,1,1,11,48,83
org::eclipse::jdt::internal::core::builder::MissingSourceFileException,java::lang::RuntimeException,3,1,1,1,0,1,0,0
org::eclipse::jdt::internal::compiler::codegen::StackMapFrameCodeStream::ExceptionMarker,java::lang::Comparable,25,7,7,1,0,4,11,0
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteAnalyzer::ParagraphListRewriter,org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteAnalyzer::ListRewriter,77,19,19,2,1,7,20,0
org::eclipse::jdt::core::dom::SimplePropertyDescriptor,org::eclipse::jdt::core::dom::StructuralPropertyDescriptor,42,4,4,2,0,3,5,1
org::eclipse::jdt::internal::codeassist::impl::AssistPackageDeclaration,org::eclipse::jdt::internal::core::PackageDeclaration,10,3,3,5,0,7,5,0
org::eclipse::jdt::internal::codeassist::CompletionRequestorWrapper,org::eclipse::jdt::core::CompletionRequestor,306,31,31,2,0,8,36,0
org::eclipse::jdt::core::dom::PrimitiveType,org::eclipse::jdt::core::dom::Type,111,17,17,3,0,13,35,5
org::eclipse::jdt::core::dom::AnnotationBinding,java::lang::Object,190,59,59,2,0,34,59,67
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocParamNameReference,org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadoc,28,7,7,8,0,3,8,5
org::eclipse::jdt::internal::core::util::StackMapFrame,org::eclipse::jdt::core::util::IStackMapFrame,138,25,25,2,0,4,11,15
org::eclipse::jdt::internal::compiler::batch::Main::ResourceBundleFactory,java::lang::Object,8,2,2,1,0,4,5,0
org::eclipse::jdt::core::dom::CompilationUnit,org::eclipse::jdt::core::dom::ASTNode,647,89,89,2,0,29,89,219
org::eclipse::jdt::internal::eval::CodeSnippetThisReference,org::eclipse::jdt::internal::compiler::lookup::InvocationSite,83,17,17,6,0,13,24,43
org::eclipse::jdt::internal::compiler::impl::Constant,java::lang::Object,647,127,127,1,9,15,54,390
org::eclipse::jdt::internal::formatter::comment::CommentRange,org::eclipse::jface::text::Position,216,42,42,1,0,6,23,6
org::eclipse::jdt::internal::codeassist::complete::CompletionScanner,org::eclipse::jdt::internal::compiler::parser::Scanner,647,127,127,2,0,8,36,6
org::eclipse::jdt::internal::core::util::PublicScanner,org::eclipse::jdt::core::compiler::IScanner,647,127,127,1,0,15,83,336
org::eclipse::jdt::internal::compiler::ast::StringLiteralConcatenation,org::eclipse::jdt::internal::compiler::ast::StringLiteral,52,9,9,6,0,5,12,3
org::eclipse::jdt::internal::core::CreateFieldOperation,org::eclipse::jdt::internal::core::CreateTypeMemberOperation,99,21,21,4,0,18,33,0
org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference,org::eclipse::jdt::internal::compiler::ast::SingleNameReference,40,9,9,7,2,13,15,6
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteAnalyzer::ModifierRewriter,org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteAnalyzer::ListRewriter,10,3,3,2,0,3,5,0
org::eclipse::jdt::core::dom::QualifiedName,org::eclipse::jdt::core::dom::Name,168,27,27,4,0,11,42,8
org::eclipse::jdt::internal::compiler::ast::SingleNameReference,org::eclipse::jdt::internal::compiler::ast::NameReference,647,127,127,6,5,34,131,228
org::eclipse::jdt::internal::compiler::SourceJavadocParser,org::eclipse::jdt::internal::compiler::parser::JavadocParser,107,22,22,3,0,6,15,0
org::eclipse::jdt::core::compiler::ReconcileContext,java::lang::Object,131,13,13,1,0,17,23,6
org::eclipse::jdt::internal::compiler::util::HashtableOfIntValues,java::lang::Object,118,28,28,1,0,6,14,18
org::eclipse::jdt::internal::compiler::ast::NullLiteral,org::eclipse::jdt::internal::compiler::ast::MagicLiteral,39,9,9,6,0,6,13,21
org::eclipse::jdt::internal::compiler::flow::ConditionalFlowInfo,org::eclipse::jdt::internal::compiler::flow::FlowInfo,158,36,36,2,0,4,64,67
org::eclipse::jdt::internal::compiler::lookup::MethodVerifier15,org::eclipse::jdt::internal::compiler::lookup::MethodVerifier,647,127,127,2,0,21,96,1
org::eclipse::jdt::core::compiler::batch::BatchCompiler,java::lang::Object,55,3,3,1,0,4,4,1
org::eclipse::jdt::internal::core::SortElementsOperation,org::eclipse::jdt::internal::core::JavaModelOperation,314,36,36,2,0,27,55,3
org::eclipse::jdt::core::dom::ConstructorInvocation,org::eclipse::jdt::core::dom::Statement,133,22,22,3,0,11,36,6
org::eclipse::jdt::internal::compiler::lookup::InferenceContext,java::lang::Object,119,29,29,1,0,9,14,5
org::eclipse::jdt::internal::core::util::ClassFileStruct,java::lang::Object,85,20,20,1,16,3,14,0
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteAnalyzer,org::eclipse::jdt::core::dom::ASTVisitor,647,127,127,2,0,50,135,3478
org::eclipse::jdt::internal::compiler::flow::NullInfoRegistry,org::eclipse::jdt::internal::compiler::flow::UnconditionalFlowInfo,336,65,65,3,0,5,10,21
org::eclipse::jdt::core::dom::Annotation,org::eclipse::jdt::core::dom::Expression,133,15,15,3,3,8,22,35
org::eclipse::jdt::internal::core::CreateTypeMemberOperation,org::eclipse::jdt::internal::core::CreateElementInCUOperation,155,28,28,3,4,29,52,0
org::eclipse::jdt::internal::compiler::ast::MarkerAnnotation,org::eclipse::jdt::internal::compiler::ast::Annotation,19,5,5,5,1,4,5,1
org::eclipse::jdt::core::dom::ASTConverter,java::lang::Object,647,127,127,1,0,50,135,600
org::eclipse::jdt::core::dom::TypeBinding,java::lang::Object,647,127,127,2,0,42,135,307
org::eclipse::jdt::internal::compiler::lookup::ClassScope,org::eclipse::jdt::internal::compiler::lookup::Scope,647,127,127,2,0,39,135,0
org::eclipse::jdt::internal::compiler::parser::RecoveredType,org::eclipse::jdt::internal::compiler::parser::TerminalTokens,647,127,127,3,0,24,65,239
org::eclipse::jdt::internal::core::hierarchy::RegionBasedTypeHierarchy,org::eclipse::jdt::internal::core::hierarchy::TypeHierarchy,131,26,26,2,0,17,31,1
org::eclipse::jdt::internal::core::dom::rewrite::ImportRewriteAnalyzer::PackageMatcher,java::lang::Object,60,12,12,1,0,2,6,0
org::eclipse::jdt::internal::core::util::CodeAttribute,org::eclipse::jdt::internal::core::util::ClassFileAttribute,647,127,127,3,0,17,135,52
org::eclipse::jdt::internal::compiler::ast::BranchStatement,org::eclipse::jdt::internal::compiler::ast::Statement,47,9,9,3,3,4,8,1
org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding,org::eclipse::jdt::internal::compiler::lookup::ReferenceBinding,647,127,127,4,1,50,135,702
org::eclipse::jdt::internal::compiler::parser::diagnose::RangeUtil,java::lang::Object,60,15,15,1,0,8,10,3
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedNameReference,org::eclipse::jdt::internal::compiler::ast::QualifiedNameReference,36,8,8,7,0,7,15,1
org::eclipse::jdt::internal::core::MemberValuePair,java::lang::Object,29,7,7,1,0,3,8,3
org::eclipse::jdt::internal::core::dom::rewrite::ImportRewriteAnalyzer,java::lang::Object,619,127,127,1,0,38,120,21
org::eclipse::jdt::internal::compiler::codegen::StackMapFrame,java::lang::Object,341,89,89,1,0,10,30,40
org::eclipse::jdt::core::search::SearchEngine,java::lang::Object,647,38,38,1,0,33,63,340
org::eclipse::jdt::internal::core::ResolvedSourceField,org::eclipse::jdt::internal::core::SourceField,26,6,6,7,1,2,7,3
org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants,java::lang::Object,292,57,57,1,0,8,17,26
org::eclipse::jdt::internal::compiler::lookup::ArrayBinding,org::eclipse::jdt::internal::compiler::lookup::TypeBinding,215,62,62,3,0,19,55,46
org::eclipse::jdt::internal::compiler::util::HashSetOfInt,java::lang::Cloneable,97,25,25,1,0,5,14,2
org::eclipse::jdt::core::dom::AbstractTypeDeclaration,org::eclipse::jdt::core::dom::BodyDeclaration,194,16,16,3,3,9,27,35
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding,org::eclipse::jdt::internal::compiler::lookup::NestedTypeBinding,36,12,12,6,0,5,17,3
org::eclipse::jdt::internal::compiler::batch::ClasspathJar,org::eclipse::jdt::internal::compiler::batch::ClasspathLocation,159,39,39,2,1,20,54,24
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock,org::eclipse::jdt::internal::compiler::parser::RecoveredStatement,381,79,79,3,0,25,55,146
org::eclipse::jdt::internal::core::ClasspathValidation,java::lang::Object,51,10,10,1,0,12,12,0
org::eclipse::jdt::internal::compiler::SourceElementParser,org::eclipse::jdt::internal::core::util::CommentRecorderParser,647,127,127,3,1,50,132,10
org::eclipse::jdt::internal::core::util::LocalVariableAttribute,org::eclipse::jdt::internal::core::util::ClassFileAttribute,38,5,5,3,0,4,5,1
org::eclipse::jdt::internal::core::util::StackMapTableAttribute,org::eclipse::jdt::internal::core::util::ClassFileAttribute,46,7,7,3,0,5,9,3
org::eclipse::jdt::internal::compiler::ast::ConstructorDeclaration,org::eclipse::jdt::internal::compiler::ast::AbstractMethodDeclaration,454,101,101,3,0,49,113,74
org::eclipse::jdt::internal::compiler::ast::JavadocFieldReference,org::eclipse::jdt::internal::compiler::ast::FieldReference,99,27,27,6,1,16,33,15
org::eclipse::jdt::internal::core::builder::AbortIncrementalBuildException,java::lang::RuntimeException,3,1,1,1,0,1,0,0
org::eclipse::jdt::internal::codeassist::impl::AssistImportDeclaration,org::eclipse::jdt::internal::core::ImportDeclaration,7,2,2,5,0,5,3,0
org::eclipse::jdt::internal::core::search::matching::InternalSearchPattern,java::lang::Object,67,17,17,1,1,14,26,0
